pop,prop,class,label
295344,P1142,Q159535,OPT
691,P1142,Q7278,OPT
138,P1142,Q5,OPT
1275,P1142,Q7278,OPT
1834,P1142,Q5,OPT
126798,P1142,Q5,OPT
397,P1142,Q5,OPT
691,P1142,Q7278,OPT
1728,P1142,Q5,OPT
110,P1142,Q7278,OPT
535,P1142,Q7278,OPT
0,P1142,Q17127659,OPT
1050,P1142,Q18772252,OPT
1108,P1142,Q1320047,OPT
224,P1142,Q7278,OPT
13327,P1142,Q108564724,OPT
1638,P1142,Q7278,OPT
9414,P1142,Q7278,OPT
11228,P1142,NULL,OPT
827,P1142,Q35127,OPT
300,P1142,Q5,OPT
166,P1142,Q5,OPT
60552,P1142,Q5,OPT
4655,P1142,Q5,OPT
1496,P1142,Q1110794,OPT
10690,P1142,Q43229,OPT
80,P1142,Q388602,OPT
329,P1142,Q7278,OPT
1491,P1142,Q1661080,OPT
202,P1142,Q7075,OPT
2740,P1142,Q5,OPT
5342,P1142,Q7278,OPT
18577,P1142,Q155271,OPT
36669,P1142,Q7210356,OPT
583,P1142,Q7278,OPT
253238,P1142,Q43229,OPT
1677,P1142,Q7278,OPT
18617,P1142,Q7278,OPT
7521,P1142,Q5,OPT
2945,P1142,Q153936,OPT
244,P1142,Q7278,OPT
6301,P1142,Q207320,OPT
1149,P1142,Q7278,OPT
780,P1142,Q7278,OPT
126,P1142,Q5,OPT
324,P1142,Q7278,OPT
582,P1142,Q7278,OPT
439,P1142,Q1110794,OPT
16972,P1142,Q17149090,OPT
151,P1142,Q6138528,OPT
1617,P1142,Q13473501,OPT
356,P1142,Q5,OPT
1150,P1142,Q7278,OPT
4244,P1142,Q233591,OPT
3147,P1142,Q7278,OPT
8530,P1142,Q7278,OPT
369,P1142,Q5,OPT
26460,P1142,Q17127659,OPT
471,P1142,Q1673189,OPT
399,P1142,Q7278,OPT
2973,P1142,Q1530022,OPT
1377,P1142,Q7278,OPT
844,P1142,Q5,OPT
439,P1142,Q7278,OPT
6478,P1142,Q5,OPT
1006,P1142,Q5,OPT
155838,P1142,Q43229,OPT
2072,P1142,Q5,OPT
64,P1142,Q7278,OPT
91,P1142,Q6065085,OPT
141,P1142,Q7278,OPT
3715,P1142,Q92326395,OPT
122,P1142,Q7278,OPT
227,P1142,Q42428014,OPT
4717,P1142,Q7278,OPT
104,P1142,Q7278,OPT
95,P1142,Q7278,OPT
780,P1142,Q48204,OPT
527,P1142,Q7210356,OPT
5994,P1142,Q7278,OPT
2685,P1142,Q7278,OPT
3742,P1142,Q168210,OPT
4154,P1142,Q5,OPT
1074,P1142,Q7278,OPT
449,P1142,Q7278,OPT
76,P1142,Q5,OPT
53,P1142,Q7278,OPT
2472,P1142,Q5,OPT
82,P1142,Q7278,OPT
7291,P1142,Q17127659,OPT
327,P1142,Q40482169,OPT
648,P1142,Q7278,OPT
465,P1142,Q7278,OPT
960,P1142,Q1393724,OPT
13120,P1142,Q7278,OPT
137796,P1142,Q5,OPT
361,P1142,Q5,OPT
62,P1142,Q7278,OPT
2224,P1142,Q7278,OPT
1694,P277,Q341,OPT
2695,P277,Q341,OPT
436,P277,Q783866,OPT
384,P277,Q341,OPT
17981,P277,Q131212,OPT
100,P277,Q7397,OPT
8137,P277,Q241317,OPT
534,P277,Q166142,OPT
1563,P277,Q100158612,OPT
4028,P277,Q341,OPT
67410,P277,Q5519929,OPT
4714,P277,Q5597177,OPT
2792,P277,Q341,OPT
1564,P277,Q341,OPT
10639,P277,Q2351962,OPT
3243,P277,Q341,OPT
2359,P277,Q20202982,OPT
3232,P277,Q341,OPT
356,P277,Q166142,OPT
3132,P277,Q2727468,OPT
424,P277,Q341,OPT
461,P277,Q1324042,OPT
1627,P277,Q66436511,OPT
106,P277,Q341,OPT
3327,P277,Q13741,OPT
1263,P277,Q341,OPT
3475,P277,Q1092177,OPT
56141,P277,Q483639,OPT
1154,P277,Q1193246,OPT
368,P277,Q7397,OPT
24559,P277,Q341,OPT
1791,P277,Q2539,OPT
858,P277,Q783866,OPT
179,P277,Q7397,OPT
1560,P277,Q117038666,OPT
1292,P277,Q891055,OPT
1051,P277,Q718969,OPT
2601,P277,Q341,OPT
28893,P277,Q2101564,OPT
2490,P277,Q166142,OPT
301,P277,Q17077007,OPT
17591,P277,Q341,OPT
1467,P277,Q795549,OPT
379,P277,Q4830453,OPT
129,P277,Q341,OPT
3418,P277,Q13741,OPT
1120,P277,Q341,OPT
161,P277,Q341,OPT
5758,P277,Q341,OPT
7065,P277,Q341,OPT
2075,P277,Q7397,OPT
561,P277,Q341,OPT
10684,P277,Q241317,OPT
14917,P277,Q9135,OPT
1812,P277,Q205020,OPT
6332,P277,Q188860,OPT
763101,P277,Q811701,OPT
471648,P277,Q1130645,OPT
1530,P277,Q205020,OPT
212,P277,Q783866,OPT
10223,P277,Q341,OPT
480,P277,Q1130645,OPT
3836,P277,Q341,OPT
475,P277,Q131093,OPT
22712,P277,Q341,OPT
860,P277,Q1641413,OPT
1492,P277,Q166142,OPT
1246,P277,Q341,OPT
320,P277,Q341,OPT
2953,P277,Q188860,OPT
78080,P277,Q588365,OPT
1471,P277,Q1371279,OPT
4890,P277,Q830340,OPT
16424,P277,Q9135,OPT
2864,P277,Q1727373,OPT
88,P277,Q166142,OPT
1202,P277,Q1727373,OPT
6227,P277,Q341,OPT
377,P277,Q1130645,OPT
153410,P277,Q5519929,OPT
3602,P277,Q9143,OPT
673,P277,Q506883,OPT
24138,P277,Q14656,OPT
1161,P277,Q45842,OPT
12512,P277,Q483639,OPT
440,P277,Q21125433,OPT
1583,P277,Q188860,OPT
3636,P277,Q341,OPT
117,P277,Q860676,OPT
24880,P277,Q6576792,OPT
1146,P277,Q783866,OPT
1434,P277,Q341,OPT
6084,P277,Q9135,OPT
276,P277,Q15008061,OPT
2299,P277,Q166142,OPT
727,P277,Q341,OPT
15404,P277,Q9143,OPT
1163,P277,Q341,OPT
467,P277,Q74086777,OPT
820,P277,Q783866,OPT
217,P277,Q166142,OPT
208,P277,Q2467310,OPT
1919,P277,Q176165,OPT
0,P277,Q1029123,OPT
699,P277,Q341,OPT
992,P277,Q341,OPT
733,P277,Q341,OPT
5544,P277,Q341,OPT
6142,P277,Q1193246,OPT
958,P277,Q1330336,OPT
0,P277,Q9143,OPT
9318,P277,Q341,OPT
1168,P277,Q1153924,OPT
234,P277,Q341,OPT
10517,P277,Q783866,OPT
1186,P277,Q522972,OPT
1361,P277,Q73539779,OPT
652,P277,Q9143,OPT
16018,P277,Q166142,OPT
2007,P277,Q341,OPT
67,P277,Q783866,OPT
1888,P277,Q1172313,OPT
1730,P277,Q7397,OPT
543,P277,Q21125433,OPT
1937,P277,Q341,OPT
5507,P277,Q341,OPT
222,P277,Q7397,OPT
84,P277,Q176165,OPT
47451,P277,Q56273712,OPT
3165,P277,Q21577192,OPT
483,P277,Q341,OPT
8424,P277,Q7558983,OPT
335,P277,Q341,OPT
977,P277,Q216653,OPT
310,P277,Q7397,OPT
692,P277,Q341,OPT
986,P277,Q758870,OPT
8964,P1441,Q3375722,OPT
42059,P1441,Q20086263,OPT
36855,P1441,Q15773317,OPT
1802,P1441,Q15773317,OPT
4185,P1441,Q3658341,OPT
24444,P1441,Q15773317,OPT
3316,P1441,Q3658341,OPT
4474,P1441,Q15773317,OPT
1308,P1441,Q15711870,OPT
8969,P1441,Q3658341,OPT
10140,P1441,Q15773347,OPT
7507,P1441,Q3658341,OPT
26713,P1441,Q15773317,OPT
9020,P1441,Q1569167,OPT
8772,P1441,Q1114461,OPT
3218,P1441,Q15773317,OPT
2267,P1441,Q15773317,OPT
7161,P1441,Q15773317,OPT
10430,P1441,Q15773317,OPT
13478,P1441,Q3658341,OPT
11467,P1441,Q16705943,OPT
13057,P1441,Q15773317,OPT
5079,P1441,Q15773317,OPT
6837,P1441,Q14514600,OPT
10172,P1441,Q15773347,OPT
2821,P1441,Q15773317,OPT
4103,P1441,Q3658341,OPT
35123,P1441,Q3375722,OPT
1944,P1441,Q15773317,OPT
18463,P1441,Q66481339,OPT
37039,P1441,Q15773317,OPT
5363,P1441,Q3658341,OPT
10015,P1441,Q80447738,OPT
14055,P1441,Q15773347,OPT
20756,P1441,Q3658341,OPT
10554,P1441,Q15773317,OPT
6046,P1441,Q15773347,OPT
19559,P1441,Q4271324,OPT
6404,P1441,Q15773317,OPT
2142,P1441,Q15773317,OPT
14419,P1441,Q16363493,OPT
10505,P1441,Q15773317,OPT
9790,P1441,Q1050840,OPT
36520,P1441,Q15773347,OPT
2853,P1441,Q63960235,OPT
21795,P1441,Q87576284,OPT
35494,P1441,Q16888407,OPT
7213,P1441,Q15773317,OPT
6855,P1441,Q15773317,OPT
27383,P1441,Q15711870,OPT
4825,P1441,Q21192438,OPT
10812,P1441,Q15773347,OPT
179080,P1441,Q17624054,OPT
21519,P1441,Q19324463,OPT
18048,P1441,Q15632617,OPT
8445,P1441,Q80447738,OPT
4470,P1441,Q15773317,OPT
5302,P1441,Q15711870,OPT
6778,P1441,Q15632617,OPT
13951,P1441,Q87576284,OPT
492,P1441,Q15773317,OPT
73499,P1441,Q15773317,OPT
6120,P1441,Q15773317,OPT
77953,P1441,Q3658341,OPT
25232,P1441,Q15773347,OPT
9808,P1441,Q15773317,OPT
14948,P1441,Q3658341,OPT
6361,P1441,Q15773317,OPT
4627,P1441,Q15773317,OPT
6715,P1441,Q95074,OPT
1820,P1441,Q1046315,OPT
65028,P1441,Q15773317,OPT
51549,P1441,Q15773317,OPT
12004,P1441,Q15711870,OPT
7366,P1441,Q15773347,OPT
4877,P1441,Q87576284,OPT
3342,P1441,Q21192438,OPT
3800,P1441,Q3658341,OPT
5188,P1441,Q15773347,OPT
3268,P1441,Q15773317,OPT
15386,P1441,Q15773317,OPT
16879,P1441,Q15773317,OPT
7059,P1441,Q15773317,OPT
4718,P1441,Q3375722,OPT
8461,P1441,Q15711870,OPT
2327,P1441,Q1569167,OPT
10606,P1441,Q15773317,OPT
20778,P1441,Q81544388,OPT
2922,P1441,Q3375722,OPT
7637,P1441,Q15773317,OPT
8405,P1441,Q15711870,OPT
2897,P1441,Q1569167,OPT
2320,P1441,Q15773317,OPT
19749,P1441,Q5,OPT
7799,P1441,Q1569167,OPT
12621,P1441,Q15711870,OPT
3982,P1441,Q1621322,OPT
12970,P1441,Q15773317,OPT
41167,P1441,Q15711870,OPT
21617,P1441,Q15773347,OPT
5198,P1441,Q15711870,OPT
1483,P1441,Q14623646,OPT
12459,P1441,Q87576284,OPT
13298,P1441,Q15773317,OPT
7304,P1441,Q80447738,OPT
16107,P1441,Q15773347,OPT
23452,P1441,Q15711870,OPT
12656,P1441,Q15773347,OPT
7361,P1441,Q87576284,OPT
1765,P1441,Q95074,OPT
34336,P1441,Q15773317,OPT
23902,P1441,Q15711870,OPT
7460,P1441,Q3658341,OPT
32475,P1441,Q15711870,OPT
13149,P1441,Q20086260,OPT
7373,P1441,Q27120684,OPT
1648,P1441,Q15773317,OPT
8372,P1441,Q15773317,OPT
1608,P1441,Q15773317,OPT
3188,P1441,Q15711870,OPT
2451,P1441,Q1569167,OPT
5111,P1441,Q15773317,OPT
3842,P1441,Q87576284,OPT
2898,P1441,Q15773317,OPT
23190,P1441,Q15773317,OPT
3039,P1441,Q15773317,OPT
18204,P1441,Q15773317,OPT
3375,P1441,Q80447738,OPT
7413,P1441,Q15711870,OPT
6885,P1441,Q15773317,OPT
30125,P1441,Q15773317,OPT
6417,P1441,Q15711870,OPT
13923,P1441,Q20086263,OPT
24559,P1441,Q3658341,OPT
7255,P1441,Q3375722,OPT
16478,P1441,Q3658341,OPT
815,P1441,Q15773317,OPT
7234,P1441,Q2775969,OPT
2053,P1441,Q15773317,OPT
13204,P1441,Q15773317,OPT
8212,P1441,Q15773347,OPT
26037,P1441,Q20085850,OPT
3459,P1441,Q1569167,OPT
1603,P1441,Q1964689,OPT
4529,P1441,Q15773317,OPT
8401,P1441,Q80447738,OPT
36345,P1441,Q15773317,OPT
35668,P1441,Q15773317,OPT
7568,P1441,Q20085850,OPT
1766,P1441,Q582567,OPT
21503,P1441,Q15711870,OPT
40038,P1441,Q15773317,OPT
1120,P1441,Q15711870,OPT
36835,P1441,Q15773317,OPT
12561,P1441,Q3658341,OPT
2433,P1441,Q15773317,OPT
4039,P1441,Q3375722,OPT
19777,P1441,Q15773317,OPT
2272,P1441,Q80447738,OPT
5730,P1441,Q15773317,OPT
16568,P1441,Q15773347,OPT
395,P1441,Q15773317,OPT
1259,P1441,Q15632617,OPT
3773,P1441,Q1569167,OPT
17097,P1441,Q15831596,OPT
30253,P1441,Q15711870,OPT
24504,P1441,Q5,OPT
12906,P1441,Q20085850,OPT
5968,P1441,Q15773317,OPT
2551,P1441,Q15773317,OPT
14509,P1441,Q15773317,OPT
3650,P1441,Q15773317,OPT
17846,P170,Q5398426,OPT
6039,P170,Q3658341,OPT
742977,P170,Q15331236,OPT
10729,P170,Q3375722,OPT
44985,P170,Q15632617,OPT
164612,P170,Q47461344,OPT
30060,P170,Q80447738,OPT
1769,P170,Q2164067,OPT
46273,P170,Q15416,OPT
203006,P170,Q15773347,OPT
12504,P170,Q3658341,OPT
34878,P170,Q5398426,OPT
30166,P170,Q80447738,OPT
3874,P170,Q196600,OPT
3484,P170,Q14406742,OPT
5682,P170,Q5398426,OPT
705,P170,Q15698333,OPT
9237,P170,Q3305213,OPT
64789,P170,Q5398426,OPT
38495,P170,Q5398426,OPT
